120,2018,274,1622,43.2,12.271,2.1534,430.69,405.69,20.861,77.3,20.502,17.099
120,2018,274,1622,44.2,12.405,2.1517,430.34,405.34,20.861,77.187,20.502,17.099
120,2018,274,1622,45.2,12.262,2.1579,431.59,406.59,20.861,77.141,20.502,17.099
120,2018,274,1622,46.2,12.383,2.1514,430.28,405.28,20.848,77.006,20.49,17.086
120,2018,274,1622,47.2,12.429,2.1597,431.93,406.93,20.848,76.938,20.49,17.069
120,2018,274,1622,48.2,12.306,2.1569,431.38,406.38,20.848,76.802,20.49,17.069
120,2018,274,1622,49.2,12.424,2.2042,440.84,415.84,20.848,76.779,20.49,17.069
120,2018,274,1622,50.2,12.292,2.2259,445.19,420.19,20.835,76.666,20.477,17.039
120,2018,274,1622,51.2,12.394,2.2142,442.84,417.84,20.835,76.575,20.477,17.039
120,2018,274,1622,52.2,12.312,2.2052,441.05,416.05,20.852,76.53,20.477,17.039
120,2018,274,1622,53.2,12.424,2.1895,437.91,412.91,20.852,76.485,20.477,17.039
120,2018,274,1622,54.2,12.268,2.1969,439.39,414.39,20.839,76.394,20.464,17.026
120,2018,274,1622,55.2,12.394,2.1994,439.87,414.87,20.839,76.326,20.464,17.026
120,2018,274,1622,56.2,12.317,2.1969,439.39,414.39,20.856,76.326,20.464,17.026
120,2018,274,1622,57.2,12.328,2.1945,438.91,413.91,20.856,76.281,20.464,17.026
120,2018,274,1622,58.2,12.282,2.1859,437.18,412.18,20.844,76.258,20.451,17.014
120,2018,274,1622,59.2,12.268,2.1885,437.7,412.7,20.844,76.19,20.451,17.014
120,2018,274,1623,0.2,12.421,2.194,438.81,413.81,20.831,76.19,20.439,17.001
120,2018,274,1623,1.2,12.306,2.193,438.6,413.6,20.831,76.168,20.439,17.001
120,2018,274,1623,2.2,12.432,2.2002,440.05,415.05,20.831,76.19,20.439,17.001
120,2018,274,1623,3.2,12.372,2.2038,440.77,415.77,20.831,76.145,20.439,17.001
120,2018,274,1623,4.2,12.289,2.1938,438.77,413.77,20.818,76.145,20.426,16.988
120,2018,274,1623,5.2,12.429,2.2104,442.08,417.08,20.818,76.1,20.426,16.988
120,2018,274,1623,6.2,12.309,2.1976,439.53,414.53,20.805,76.122,20.413,16.958
120,2018,274,1623,7.2,12.401,2.1976,439.53,414.53,20.805,76.122,20.413,16.941
120,2018,274,1623,8.2,12.262,2.2004,440.08,415.08,20.823,76.054,20.413,16.941
120,2018,274,1623,9.2,12.405,2.1969,439.39,414.39,20.823,76.122,20.413,16.941
120,2018,274,1623,10.2,12.273,2.1983,439.67,414.67,20.827,76.1,20.4,16.928
120,2018,274,1623,11.2,12.407,2.1937,438.74,413.74,20.81,76.077,20.4,16.928
120,2018,274,1623,12.2,12.364,2.1994,439.87,414.87,20.827,76.054,20.4,16.928
120,2018,274,1623,13.2,12.257,2.1983,439.67,414.67,20.814,76.032,20.388,16.915
120,2018,274,1623,14.2,12.355,2.1983,439.67,414.67,20.814,76.054,20.388,16.915
120,2018,274,1623,15.2,12.306,2.1914,438.28,413.28,20.814,76.077,20.388,16.915
120,2018,274,1623,16.2,12.427,2.1976,439.53,414.53,20.801,76.032,20.375,16.903
120,2018,274,1623,17.2,12.32,2.1942,438.84,413.84,20.801,76.054,20.375,16.903
120,2018,274,1623,18.2,12.432,2.1983,439.67,414.67,20.801,76.032,20.375,16.885
120,2018,274,1623,19.2,12.32,2.1909,438.18,413.18,20.789,76.009,20.362,16.89
120,2018,274,1623,20.2,12.369,2.1997,439.94,414.94,20.789,76.077,20.362,16.873
120,2018,274,1623,21.2,12.38,2.1956,439.11,414.11,20.806,76.032,20.362,16.873
120,2018,274,1623,22.2,12.372,2.1997,439.94,414.94,20.806,76.032,20.362,16.873
120,2018,274,1623,23.2,12.375,2.1914,438.28,413.28,20.793,76.032,20.349,16.843
120,2018,274,1623,24.2,12.298,2.193,438.6,413.6,20.793,76.009,20.349,16.843
120,2018,274,1623,25.2,12.377,2.1873,437.46,412.46,20.793,76.054,20.349,16.843
120,2018,274,1623,26.2,12.265,2.1969,439.39,414.39,20.78,76.054,20.337,16.83
120,2018,274,1623,27.2,12.352,2.1976,439.53,414.53,20.797,76.032,20.337,16.83
120,2018,274,1623,28.2,12.432,2.19,438.01,413.01,20.797,76.032,20.337,16.83
120,2018,274,1623,29.2,12.298,2.1969,439.39,414.39,20.797,76.032,20.337,16.83
120,2018,274,1623,30.2,12.424,2.1963,439.25,414.25,20.785,75.964,20.324,16.8
120,2018,274,1623,31.2,12.306,2.2025,440.49,415.49,20.785,76.054,20.324,16.8
120,2018,274,1623,32.2,12.416,2.1976,439.53,414.53,20.785,76.032,20.324,16.8
120,2018,274,1623,33.2,12.301,2.1956,439.11,414.11,20.785,76.054,20.324,16.8
120,2018,274,1623,34.2,12.424,2.2004,440.08,415.08,20.772,75.986,20.311,16.787
120,2018,274,1623,35.2,12.262,2.1997,439.94,414.94,20.772,75.964,20.311,16.77
120,2018,274,1623,36.2,12.407,2.1845,436.9,411.9,20.789,75.964,20.311,16.77
120,2018,274,1623,37.2,12.276,2.1942,438.84,413.84,20.772,75.964,20.311,16.77
120,2018,274,1623,38.2,12.402,2.1976,439.53,414.53,20.776,75.986,20.299,16.757
120,2018,274,1623,39.2,12.262,2.19,438.01,413.01,20.776,75.964,20.299,16.757
120,2018,274,1623,40.2,12.405,2.1983,439.67,414.67,20.793,76.009,20.299,16.757
120,2018,274,1623,41.2,12.331,2.1909,438.18,413.18,20.776,75.986,20.299,16.757
